Age,Salary,Purchased
19,19.0,0
35,20.0,0
26,43.0,0
27,57.0,0
19,76.0,0
27,58.0,0
27,84.0,0
32,150.0,1
25,33.0,0
35,65.0,0
26,80.0,0
26,52.0,0
20,86.0,0
32,18.0,0
18,82.0,0
29,80.0,0
47,25.0,1
45,26.0,1
46,28.0,1
48,29.0,1
45,22.0,1
47,49.0,1
48,41.0,1
45,22.0,1
46,23.0,1
47,20.0,1
49,28.0,1
47,30.0,1
29,43.0,0
31,18.0,0
31,74.0,0
27,137.0,1
21,16.0,0
28,44.0,0
27,90.0,0
35,27.0,0
33,28.0,0
30,49.0,0
26,72.0,0
27,31.0,0
27,17.0,0
33,51.0,0
35,108.0,0
30,15.0,0
28,84.0,0
23,20.0,0
25,79.0,0
27,54.0,0
30,135.0,1
31,89.0,0
24,32.0,0
18,44.0,0
29,83.0,0
35,23.0,0
27,58.0,0
24,55.0,0
23,48.0,0
28,79.0,0
22,18.0,0
32,117.0,0
27,20.0,0
25,87.0,0
23,66.0,0
32,120.0,1
59,83.0,0
24,58.0,0
24,19.0,0
23,82.0,0
22,63.0,0
31,68.0,0
25,80.0,0
24,27.0,0
20,23.0,0
33,113.0,0
32,18.0,0
34,112.0,1
18,52.0,0
22,27.0,0
28,87.0,0
26,17.0,0
30,80.0,0
39,42.0,0
20,49.0,0
35,88.0,0
30,62.0,0
31,118.0,1
24,55.0,0
28,85.0,0
26,81.0,0
35,50.0,0
22,81.0,0
30,116.0,0
26,15.0,0
29,28.0,0
29,83.0,0
35,44.0,0
35,25.0,0
28,123.0,1
35,73.0,0
28,37.0,0
27,88.0,0
28,59.0,0
32,86.0,0
33,149.0,1
19,21.0,0
21,72.0,0
26,35.0,0
27,89.0,0
26,86.0,0
38,80.0,0
39,71.0,0
37,71.0,0
38,61.0,0
37,55.0,0
42,80.0,0
40,57.0,0
35,75.0,0
36,52.0,0
40,59.0,0
41,59.0,0
36,75.0,0
37,72.0,0
40,75.0,0
35,53.0,0
41,51.0,0
39,61.0,0
42,65.0,0
26,32.0,0
30,17.0,0
26,84.0,0
31,58.0,0
33,31.0,0
30,87.0,0
21,68.0,0
28,55.0,0
23,63.0,0
20,82.0,0
30,107.0,1
28,59.0,0
19,25.0,0
19,85.0,0
18,68.0,0
35,59.0,0
30,89.0,0
34,25.0,0
24,89.0,0
27,96.0,1
41,30.0,0
29,61.0,0
20,74.0,0
26,15.0,0
41,45.0,0
31,76.0,0
36,50.0,0
40,47.0,0
31,15.0,0
46,59.0,0
29,75.0,0
26,30.0,0
32,135.0,1
32,100.0,1
25,90.0,0
37,33.0,0
35,38.0,0
33,69.0,0
18,86.0,0
22,55.0,0
35,71.0,0
29,148.0,1
29,47.0,0
21,88.0,0
34,115.0,0
26,118.0,0
34,43.0,0
34,72.0,0
23,28.0,0
35,47.0,0
25,22.0,0
24,23.0,0
31,34.0,0
26,16.0,0
31,71.0,0
32,117.0,1
33,43.0,0
33,60.0,0
31,66.0,0
20,82.0,0
33,41.0,0
35,72.0,0
28,32.0,0
24,84.0,0
19,26.0,0
29,43.0,0
19,70.0,0
28,89.0,0
34,43.0,0
30,79.0,0
20,36.0,0
26,80.0,0
35,22.0,0
35,39.0,0
49,74.0,0
39,134.0,1
41,71.0,0
58,101.0,1
47,47.0,0
55,130.0,1
52,114.0,0
40,142.0,1
46,22.0,0
48,96.0,1
52,150.0,1
59,42.0,0
35,58.0,0
47,43.0,0
60,108.0,1
49,65.0,0
40,78.0,0
46,96.0,0
59,143.0,1
41,80.0,0
35,91.0,1
37,144.0,1
60,102.0,1
35,60.0,0
37,53.0,0
36,126.0,1
56,133.0,1
40,72.0,0
42,80.0,1
35,147.0,1
39,42.0,0
40,107.0,1
49,86.0,1
38,112.0,0
46,79.0,1
40,57.0,0
37,80.0,0
46,82.0,0
53,143.0,1
42,149.0,1
38,59.0,0
50,88.0,1
56,104.0,1
41,72.0,0
51,146.0,1
35,50.0,0
57,122.0,1
41,52.0,0
35,97.0,1
44,39.0,0
37,52.0,0
48,134.0,1
37,146.0,1
50,44.0,0
52,90.0,1
41,72.0,0
40,57.0,0
58,95.0,1
45,131.0,1
35,77.0,0
36,144.0,1
55,125.0,1
35,72.0,0
48,90.0,1
42,108.0,1
40,75.0,0
37,74.0,0
47,144.0,1
40,61.0,0
43,133.0,0
59,76.0,1
60,42.0,1
39,106.0,1
57,26.0,1
57,74.0,1
38,71.0,0
49,88.0,1
52,38.0,1
50,36.0,1
59,88.0,1
35,61.0,0
37,70.0,1
52,21.0,1
48,141.0,0
37,93.0,1
37,62.0,0
48,138.0,1
41,79.0,0
37,78.0,1
39,134.0,1
49,89.0,1
55,39.0,1
37,77.0,0
35,57.0,0
36,63.0,0
42,73.0,1
43,112.0,1
45,79.0,0
46,117.0,1
58,38.0,1
48,74.0,1
37,137.0,1
37,79.0,1
40,60.0,0
42,54.0,0
51,134.0,0
47,113.0,1
36,125.0,1
38,50.0,0
42,70.0,0
39,96.0,1
38,50.0,0
49,141.0,1
39,79.0,0
39,75.0,1
54,104.0,1
35,55.0,0
45,32.0,1
36,60.0,0
52,138.0,1
53,82.0,1
41,52.0,0
48,30.0,1
48,131.0,1
41,60.0,0
41,72.0,0
42,75.0,0
36,118.0,1
47,107.0,1
38,51.0,0
48,119.0,1
42,65.0,0
40,65.0,0
57,60.0,1
36,54.0,0
58,144.0,1
35,79.0,0
38,55.0,0
39,122.0,1
53,104.0,1
35,75.0,0
38,65.0,0
47,51.0,1
47,105.0,1
41,63.0,0
53,72.0,1
54,108.0,1
39,77.0,0
38,61.0,0
38,113.0,1
37,75.0,0
42,90.0,1
37,57.0,0
36,99.0,1
60,34.0,1
54,70.0,1
41,72.0,0
40,71.0,1
42,54.0,0
43,129.0,1
53,34.0,1
47,50.0,1
42,79.0,0
42,104.0,1
59,29.0,1
58,47.0,1
46,88.0,1
38,71.0,0
54,26.0,1
60,46.0,1
60,83.0,1
39,73.0,0
59,130.0,1
37,80.0,0
46,32.0,1
46,74.0,0
42,53.0,0
41,87.0,1
58,23.0,1
42,64.0,0
48,33.0,1
44,139.0,1
49,28.0,1
57,33.0,1
56,60.0,1
49,39.0,1
39,71.0,0
47,34.0,1
48,35.0,1
48,33.0,1
47,23.0,1
45,45.0,1
60,42.0,1
39,59.0,0
46,41.0,1
51,23.0,1
50,20.0,1
36,33.0,0
49,36.0,1
